22, the Ville, <all>, bed
52, the Ville, <all>, desk
42, the Ville, <all>, closet
63, the Ville, <all>, shelf
62, the Ville, <all>, easel
72, the Ville, <all>, bathroom sink
3, the Ville, <all>, shower
13, the Ville, <all>, toilet
23, the Ville, <all>, kitchen sink
5, the Ville, <all>, kitchen table
33, the Ville, <all>, refrigerator
43, the Ville, <all>, toaster
53, the Ville, <all>, cooking area

73, the Ville, <all>, common room sofa
4, the Ville, <all>, guitar


15, the Ville, <all>, bar customer seating
44, the Ville, <all>, behind the bar counter
78, the Ville, <all>, behind the cafe counter
54, the Ville, <all>, cafe customer seating
77, the Ville, <all>, piano
74, the Ville, <all>, blackboard
75, the Ville, <all>, game console
71, the Ville, <all>, computer desk
70, the Ville, <all>, computer
69, the Ville, <all>, library sofa
36, the Ville, <all>, bookshelf
27, the Ville, <all>, house garden
66, the Ville, <all>, lifting weight


16, the Ville, <all>, grocery store shelf


47, the Ville, <all>, pool table
19, the Ville, <all>, table