1, the Ville, Artist's co-living space
2, the Ville, Moonlight Tavern
3, the Ville, Hobbs Cafe 
4, the Ville, Supermarket
5, the Ville, Classroom
6, the Ville, Gym
7, the Ville, Library
8, the Ville, Restaurant

9, the Ville, Arthur Burton's apartment
10, the Ville, Ryan Park's apartment
11, the Ville, Isabella Rodriguez's apartment
12, the Ville, Giorgio Rossi's apartment
13, the Ville, Carlos Gomez's apartment

14, the Ville, Moreno family's house
15, the Ville, Tamara Taylor and Carmen Ortiz's house
16, the Ville, Lin family's house

17, the Ville, Moreno family's house
18, the Ville, Johnson Park