0, the Ville, Artist's co-living space, Adam Smith's main room, sp-A
10, the Ville, artist's co-living space, Rajiv Patel's room, sp-A
20, the Ville, artist's co-living space, Rajiv Patel's room, sp-B
30, the Ville, artist's co-living space, Abigail Chen's room, sp-A
1, the Ville, artist's co-living space, Francisco Lopez's room, sp-A
11, the Ville, artist's co-living space, Hailey Johnson's room, sp-A

4, the Ville, Arthur Burton's apartment, main room, sp-A
14, the Ville, Arthur Burton's apartment, main room, sp-B

24, the Ville, Ryan Park's apartment, main room, sp-A
34, the Ville, Ryan Park's apartment, main room, sp-B

5, the Ville, Isabella Rodriguez's apartment, main room, sp-A
15, the Ville, Isabella Rodriguez's apartment, main room, sp-B

176, the Ville, Giorgio Rossi's apartment, main room, sp-A
177, the Ville, Giorgio Rossi's apartment, main room, sp-B

178, the Ville, Carlos Gomez's apartment, main room, sp-A
179, the Ville, Carlos Gomez's apartment, main room, sp-B


25, the Ville, Moreno family's house, empty bedroom, sp-A
35, the Ville, Moreno family's house, empty bedroom, sp-B
6, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
16, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B

26, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-A
36, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-B
7, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-A
17, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-B

27, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-A
37, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-B
8, the Ville, Lin family's house, Eddy Lin's bedroom, sp-A
18, the Ville, Lin family's house, Eddy Lin's bedroom, sp-B